X	Y	Z	distance	slope
269618.381	2140279.998	862.51154	3030	-6.682875013
269616.64	2140270.15	863.53418	3040	-5.838997451
269614.899	2140260.303	862.95154	3050	3.334511492
269613.157	2140250.456	860.96729	3060	11.2231362
269611.988	2140240.574	858.44086	3070	14.17867953
269612.534	2140230.589	857.46765	3080	5.558577535
269613.081	2140220.604	857.01306	3090	2.602816903
269614.921	2140210.886	855.77325	3100	7.06752298
269618.369	2140201.499	855.59833	3110	1.002115578
269621.817	2140192.112	855.73657	3120	-0.792006407
269625.265	2140182.726	855.86865	3130	-0.756718654
269623.858	2140173.661	855.53027	3140	1.938035123
269619.199	2140164.813	855.90833	3150	-2.165093115
269614.547	2140155.961	853.32135	3160	14.50431855
269610.966	2140146.762	854.81287	3170	-8.483242035
269609.551	2140136.863	853.71045	3180	6.29099794
269608.137	2140126.963	852.78033	3190	5.313906291
269606.723	2140117.064	852.92188	3200	-0.810967599
269607.325	2140107.146	852.36273	3210	3.200360992
269608.555	2140097.222	852.56879	3220	-1.180469773
269609.785	2140087.298	852.37799	3230	1.093070843
269612.914	2140077.894	853.06946	3240	-3.955535074
269616.913	2140068.728	853.11957	3250	-0.287106748
269620.912	2140059.562	853.31024	3260	-1.092326269
269624.911	2140050.397	853.64294	3270	-1.90552772
269628.909	2140041.231	852.12457	3280	8.633674047
269632.313	2140032.081	851.27997	3290	4.827743737
269627.851	2140023.131	850.49591	3300	4.483161155
269623.388	2140014.182	850.91534	3310	-2.401749142
269618.926	2140005.233	849.86206	3320	6.012680397
269614.464	2139996.284	847.82855	3330	11.49442656
269610.002	2139987.335	846.35626	3340	8.375429882
269605.539	2139978.385	846.78571	3350	-2.45905627
269601.077	2139969.436	847.79779	3360	-5.779112931
269596.615	2139960.487	847.92871	3370	-0.750073493
269592.563	2139951.383	844.22345	3380	20.33097773
