flowgofluxradiationheat,mean_velocity,flowgofluxconductionheat,effective_radiation_temperature,tho_0,position,effusion_rate,slope,channel_width,core_temperature,dphi_dx,current_time,characteristic_surface_temperature,tho_b,heat_budget,viscosity,crust_temperature,flowgofluxforcedconvectionheat,crystal_fraction,channel_depth,dtemp_dx,effective_cover_fraction,dphi_dtemp
493617.59266457794,1.0724895276103115,49146.879907101815,781.8937824921164,16.993312177977668,840.0,36.8140860041508,0.07092184849866957,24.51844520649262,1383.7851785178802,4.689776860619149e-05,386.6110052646526,775.9976381985231,1040.5714394109339,646090.263756902,441.6879902379985,773.15,103325.79118522219,0.12409920031986361,1.4,-0.007851188940768665,0.991924760515043,0.005973333333333333
412246.3101586664,1.2958704436970119,40669.75768395615,783.6667627603838,17.17695411821345,850.0,36.8140860041508,0.08569744989190484,20.291978912823176,1383.7066666284725,3.9094064753685475e-05,395.9351056335221,776.852248033127,1256.8752705998716,538582.0127208234,443.34576533142257,773.15,85665.94487820084,0.12456817800592553,1.4,-0.006544765304746453,0.9902510515725438,0.005973333333333333
247813.59170071903,2.237379730223002,23553.036990930832,790.9846263486123,17.331019106558994,860.0,36.8140860041508,0.14750795379160964,11.75293373853425,1383.641218975425,2.3325932855021448e-05,403.65192643813185,780.4368636803065,2158.2181878913493,321351.2829837911,444.7331946550358,773.15,49984.65429214123,0.12495911865346238,1.4,-0.0039050110806397517,0.9832276577753374,0.005973333333333333
432064.5505436001,1.2332788823457497,42726.521576222076,783.1668924361403,17.423369610130887,870.0,36.8140860041508,0.082059476954083,21.3218405777247,1383.6021688646188,4.0994244718507564e-05,408.1214404258193,776.6116238401246,1203.6416919797703,564759.9698207994,445.56341414496126,773.15,89968.89770097725,0.1251923779820126,1.4,-0.006862875789928722,0.9907197415314399,0.005973333333333333
250515.13690176985,2.210910479865828,23830.81236409677,790.7753442704768,17.58644428251864,880.0,36.8140860041508,0.1465458437690483,11.8936410843945,1383.5335401067196,2.3584858516386115e-05,416.2299065182408,780.3344099275447,2144.242613922894,324918.38977407967,447.0268367720339,773.15,50572.44050821308,0.12560232042919767,1.4,-0.003948358010555712,0.9834244287230353,0.005973333333333333
307199.34744472854,1.7723043866397579,29726.4877338733,787.392887572293,17.68071197141751,890.0,36.8140860041508,0.11791109569034573,14.837053903086403,1383.494056526614,2.9020144005448757e-05,420.75292999253674,778.6674047760046,1727.4435602099888,399797.9659157669,447.8712956336892,773.15,62872.130737165025,0.12583816901436154,1.4,-0.004858283036626466,0.9866907408072488,0.005973333333333333
360287.0979811054,1.4945599854249478,35247.960265832065,785.2218073108066,17.797153618860158,900.0,36.8140860041508,0.09989067080941273,17.594326071679152,1383.4454736962477,3.411071011799297e-05,426.3953016276709,777.608153215555,1464.395683547584,469928.4923794807,448.91290057704464,773.15,74393.4341325432,0.12612837045441602,1.4,-0.005710498345646145,0.9887647190478998,0.005973333333333333
388430.44659436255,1.3798988378132062,38173.277840127594,784.3176087571755,17.93465596239889,910.0,36.8140860041508,0.09260692075335997,19.056306880381744,1383.3883687127914,3.6809305488455414e-05,433.08623414126737,777.169693638449,1357.9335075089198,507105.87302025274,450.1408054481868,773.15,80502.14858576261,0.12646947755559595,1.4,-0.006162272124183384,0.9896221897427911,0.005973333333333333
257388.0184149326,2.1463600015883455,24539.19308353169,790.2682981437147,18.08380813218949,920.0,36.8140860041508,0.1437480931981987,12.251335143121945,1383.3267459915496,2.4243629633743497e-05,440.33314219421385,780.0857069560678,2103.5913634036865,333993.9943842459,451.47021702460495,773.15,52066.7828857816,0.1268375706104805,1.4,-0.004058643353863309,0.983904458551387,0.005973333333333333
325427.1432492971,1.6659201340596523,31614.024011261452,786.5545088181115,18.182482326865614,930.0,36.8140860041508,0.11205913014193317,15.784535632672165,1383.286159558011,3.0767608230612216e-05,444.9921928626012,778.2592097864937,1642.078577566093,423872.024355992,452.3482868930114,773.15,66830.8570954334,0.12708000690681795,1.4,-0.005150827270749813,0.9874846207882103,0.005973333333333333
