position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
5580.0,1347.6503240041766,0.98,1434.8130189721737,2609346.3286071564,6429.646688474966,1341.1744608282334,0,0,133416.93285113704,2749192.9081467683,14.236843478798955,0.24038119421646723,1412.8240416585186,6.9358650259883206,0.4866,611.9447923654322,1488.8600000000001,5.176467264395946,1273.15,0.5,3.197290022892876e-05,-0.0022203402936756085,0.0144,0.6896111307618641,0.13546877451070335,165.0065848903665,2.238999999999998,111.83766957540072,4412.087058478944
5590.0,1347.637532604774,0.98,1433.790633192422,2607765.268533519,6424.973280241164,1341.1631949600096,0,0,133339.72167109873,2747529.963484859,14.228757272366499,0.24070092321875652,1412.8018382555817,6.939806679873773,0.4866,613.6250685383508,1488.8600000000001,5.179409052079122,1273.15,0.5,3.195356031152832e-05,-0.002218997243856133,0.0144,0.6895856646820246,0.13592320694158933,165.0065848903665,2.238999999999998,112.26208495618954,4426.796378425991
5600.0,1347.6247491813238,0.98,1413.7971411769083,2571675.5168452663,6335.289497326443,1341.1519359337258,0,0,131497.9645628539,2709508.7709054467,14.032373080231332,0.2410204588218718,1412.7796482831432,7.036929833641774,0.4866,615.3105424556604,1488.8600000000001,5.251895299174639,1273.15,0.5,3.151137679165815e-05,-0.0021882900549762604,0.0144,0.689560215177626,0.13815097411418062,165.0065848903665,2.238999999999998,112.68728687455233,4498.892693953828
5610.0,1347.6121428925867,0.98,1406.2643439247597,2558242.492080147,6301.445510050323,1341.1408327402407,0,0,130814.60002921397,2695358.537619411,13.959597976894827,0.24133557258978838,1412.7577653825933,7.073615223626689,0.4866,616.9788049248749,1488.8600000000001,5.279274828566714,1273.15,0.5,3.134681067637035e-05,-0.0021768618525257184,0.0144,0.6895351189983678,0.13923284826838156,165.0065848903665,2.238999999999998,113.10762725634986,4533.896911319543
5620.0,1347.5996026695761,0.98,1398.8443767150527,2545010.4928105106,6268.108364738585,1341.1297875588825,0,0,130141.46008042718,2681420.061255676,13.887911668779715,0.24164904069655208,1412.735996764068,7.110127650584915,0.4866,618.6444059668277,1488.8600000000001,5.306525269886538,1273.15,0.5,3.118470727766e-05,-0.0021656046720597223,0.0144,0.689510155012156,0.14031472242258253,165.0065848903665,2.238999999999998,113.5267810383609,4568.8958219784945
5630.0,1347.5871275235065,0.98,1391.5347588090192,2531975.111850876,6235.266914834152,1341.1187995214912,0,0,129478.32072243931,2667688.6994881495,13.817290310118866,0.24196088776932867,1412.7143407173473,7.1464681242716175,0.4866,620.3074100825145,1488.8600000000001,5.333647376748046,1273.15,0.5,3.102501260563481e-05,-0.0021545147642801953,0.0144,0.6894853212400799,0.14139659657678347,165.0065848903665,2.238999999999998,113.94476652751977,4603.889384966152
5640.0,1347.5747164872798,0.98,1384.333083072811,2519132.072558621,6202.91034454237,1341.1078677789408,0,0,128824.96459315617,2654159.9474963197,13.747710761046086,0.242271137895385,1412.6927955697045,7.182637639196151,0.4866,621.9678805528728,1488.8600000000001,5.360641891386722,1273.15,0.5,3.086767426958175e-05,-0.0021435884909431773,0.0144,0.6894606157466665,0.1424784707309844,165.0065848903665,2.238999999999998,114.36160166648568,4638.877559324243
5650.0,1347.562368614843,0.98,1217.2028992966077,2215226.07563259,5453.958390281991,1341.0969915005753,0,0,113286.60448644061,2333966.6385093126,12.08964148012994,0.24257981463808084,1412.671359684795,8.167721509969066,0.4866,623.625879474371,1488.8600000000001,6.095842820273575,1273.15,0.5,2.7143850927874804e-05,-0.0018849896477690837,0.0144,0.689436036638591,0.1618915573872765,165.0065848903665,2.238999999999998,114.77730404388959,5265.741200171995
5660.0,1347.551510552576,0.98,1180.860553536346,2149280.171819078,5291.053051616433,1341.0874273389152,0,0,109916.67212100612,2264487.8969917004,11.730118425194556,0.24285125314735959,1412.6525097883175,8.418058640651259,0.4866,625.0887854999419,1488.8600000000001,6.282677765472718,1273.15,0.5,2.6335818554449392e-05,-0.00182887628850343,0.0144,0.6894144236148461,0.1671349445618231,165.0065848903665,2.238999999999998,115.14366632331246,5434.723708895281
5670.0,1347.5409758833696,0.98,1071.023870328628,1949538.1390722676,4798.853154975558,1341.0781479071175,0,0,99703.8686102762,2054040.8608375192,10.640319798373957,0.24311461133290407,1412.6342210254325,9.280249713938264,0.4866,626.5125668403069,1488.8600000000001,6.926159703169252,1273.15,0.5,2.388833585125591e-05,-0.0016589122118927716,0.0144,0.6893934547864251,0.1843179520760903,165.0065848903665,2.238999999999998,115.49984732069308,5987.421350269783
5680.0,1347.5314203792052,0.98,1067.793691775688,1943813.3374817742,4784.328006727991,1341.0697308625097,0,0,99413.11034979689,2048010.7758382992,10.609375516910596,0.24335349469141662,1412.6176319033136,9.307317344708865,0.4866,627.8078140682517,1488.8600000000001,6.94636117826771,1273.15,0.5,2.381820643055186e-05,-0.001654042113232768,0.0144,0.689374435354799,0.18523656128402238,165.0065848903665,2.238999999999998,115.82354509482597,6016.9204155373955
5690.0,1347.52189306009,0.98,941.6687086052451,1714351.4753877185,4219.170031192336,1341.0613385432114,0,0,87679.44130322666,1806250.0867221374,9.35723230500772,0.24359167675572213,1412.6010914821813,10.552781158615266,0.4866,629.1028549167344,1488.8600000000001,7.87589233804652,1273.15,0.5,2.1006548372842566e-05,-0.0014587880814474004,0.0144,0.6893554724103098,0.21008888960100142,165.0065848903665,2.238999999999998,116.14687835122545,6812.988193864116
